imageID,utterance,state,valence,arousal,probability
1,terrible,terrible,neg,high,0.003304127385507592
1,terrible,terrible,neg,low,0.0009951710214447268
1,terrible,terrible,pos,high,0.00022318122604210355
1,terrible,terrible,pos,low,0.00006606891495368787
1,terrible,bad,neg,high,0.0007813353442875407
1,terrible,bad,neg,low,0.0005396762302115369
1,terrible,bad,pos,high,0.0000940825924492104
1,terrible,bad,pos,low,0.000040214732217668806
1,terrible,neutral,neg,high,0.00019470413697062698
1,terrible,neutral,neg,low,0.0006581715830521967
1,terrible,neutral,pos,high,0.00006510622741974521
1,terrible,neutral,pos,low,0.00013619669360812064
1,terrible,good,neg,high,0.04206399121064812
1,terrible,good,neg,low,0.04528608539194626
1,terrible,good,pos,high,0.041283841808602804
1,terrible,good,pos,low,0.02750518015352764
1,terrible,amazing,neg,high,0.21270289383308041
1,terrible,amazing,neg,low,0.06770560590237645
1,terrible,amazing,pos,high,0.46479676329098774
1,terrible,amazing,pos,low,0.09155760232066586
1,bad,terrible,neg,high,0.0010037707177084694
1,bad,terrible,neg,low,0.00035428497969600256
1,bad,terrible,pos,high,0.00004951356852144858
1,bad,terrible,pos,low,0.0000174305137834854
1,bad,bad,neg,high,0.001680897622003637
1,bad,bad,neg,low,0.0017808313972591389
1,bad,bad,pos,high,0.0003371162797839006
1,bad,bad,pos,low,0.00035673348303602104
1,bad,neutral,neg,high,0.0001443276671416858
1,bad,neutral,neg,low,0.0007509243411029492
1,bad,neutral,pos,high,0.00005486895196649911
1,bad,neutral,pos,low,0.0002847350940287958
1,bad,good,neg,high,0.031180630347967843
1,bad,good,neg,low,0.05166802200176762
1,bad,good,pos,high,0.034792388116498256
1,bad,good,pos,low,0.05750279136605045
1,bad,amazing,neg,high,0.1576695438466487
1,bad,amazing,neg,low,0.07724701097766162
1,bad,amazing,pos,high,0.39171231831293324
1,bad,amazing,pos,low,0.1914118604144403
1,ok,terrible,neg,high,0.0005201020849252983
1,ok,terrible,neg,low,0.0003683588444345217
1,ok,terrible,pos,high,0.000039806285218220974
1,ok,terrible,pos,low,0.000029351202164260573
1,ok,bad,neg,high,0.00030009997246641356
1,ok,bad,neg,low,0.0006401897353016744
1,ok,bad,pos,high,0.0000637442231415716
1,ok,bad,pos,low,0.00014157133247766116
1,ok,neutral,neg,high,0.0003294823162201327
1,ok,neutral,neg,low,0.0020989755344537598
1,ok,neutral,pos,high,0.00020963560369668228
1,ok,neutral,pos,low,0.0013361500452092002
1,ok,good,neg,high,0.016156190419945225
1,ok,good,neg,low,0.05372051870536383
1,ok,good,pos,high,0.027971236292298945
1,ok,good,pos,low,0.09682881843639826
1,ok,amazing,neg,high,0.08169620515636489
1,ok,amazing,neg,low,0.08031562535947186
1,ok,amazing,pos,high,0.3149159459088613
1,ok,amazing,pos,low,0.32231799254158633
1,good,terrible,neg,high,0.00030246984157448694
1,good,terrible,neg,low,0.00014133684927288844
1,good,terrible,pos,high,0.00004387920832796817
1,good,terrible,pos,low,0.000018557951038547545
1,good,bad,neg,high,0.00017452572054476838
1,good,bad,neg,low,0.0002456365619869538
1,good,bad,pos,high,0.00007026644238717326
1,good,bad,pos,low,0.00008951162687916973
1,good,neutral,neg,high,0.00004349077517903833
1,good,neutral,neg,low,0.00029957036424428494
1,good,neutral,pos,high,0.000048625179844033094
1,good,neutral,pos,low,0.00030315227649508903
1,good,good,neg,high,0.04146042724836135
1,good,good,neg,low,0.07346617506357488
1,good,good,pos,high,0.09199525201655831
1,good,good,pos,low,0.16203898906835357
1,good,amazing,neg,high,0.0475111308858368
1,good,amazing,neg,low,0.03081657358632328
1,good,amazing,pos,high,0.347137702515604
1,good,amazing,pos,low,0.20379272681761332
1,amazing,terrible,neg,high,0.00017373673538421098
1,amazing,terrible,neg,low,0.00003450281782976488
1,amazing,terrible,pos,high,0.000029649846422774464
1,amazing,terrible,pos,low,0.000007796876599648377
1,amazing,bad,neg,high,0.00010024645356438989
1,amazing,bad,neg,low,0.00005996421735850411
1,amazing,bad,pos,high,0.00004748010059530827
1,amazing,bad,pos,low,0.000037607120934902406
1,amazing,neutral,neg,high,0.000024980822086601472
1,amazing,neutral,neg,low,0.00007313040978266348
1,amazing,neutral,pos,high,0.000032856771340982147
1,amazing,neutral,pos,low,0.000127365401806755
1,amazing,good,neg,high,0.005396870847403161
1,amazing,good,neg,low,0.005031803358643445
1,amazing,good,pos,high,0.02083447012890754
1,amazing,good,pos,low,0.02572168405277902
1,amazing,amazing,neg,high,0.10254134685146403
1,amazing,amazing,neg,low,0.044197158554073426
1,amazing,amazing,pos,high,0.554153281831999
1,amazing,amazing,pos,low,0.24137406680102388
2,terrible,terrible,neg,high,0.003289465192372604
2,terrible,terrible,neg,low,0.0009907549115263361
2,terrible,terrible,pos,high,0.000222190850714964
2,terrible,terrible,pos,low,0.00006577573158687246
2,terrible,bad,neg,high,0.0007778681384614626
2,terrible,bad,neg,low,0.0005372813960557986
2,terrible,bad,pos,high,0.00009366509730444654
2,terrible,bad,pos,low,0.000040036277787239304
2,terrible,neutral,neg,high,0.0001938401298282371
2,terrible,neutral,neg,low,0.0006552509211827423
2,terrible,neutral,pos,high,0.00006481731601611538
2,terrible,neutral,pos,low,0.0001355923155097495
2,terrible,good,neg,high,0.015703998662579963
2,terrible,good,neg,low,0.016906922143150767
2,terrible,good,pos,high,0.015412740871445025
2,terrible,good,pos,low,0.010268671609927426
2,terrible,amazing,neg,high,0.23758328786612323
2,terrible,amazing,neg,low,0.07562530141163919
2,terrible,amazing,pos,high,0.5191652131393374
2,terrible,amazing,pos,low,0.10226732601745045
2,bad,terrible,neg,high,0.0010136065807306459
2,bad,terrible,neg,low,0.00035775658777305406
2,bad,terrible,pos,high,0.00004999874772534878
2,bad,terrible,pos,low,0.000017601313890477876
2,bad,bad,neg,high,0.0016973685933845055
2,bad,bad,neg,low,0.0017982816111177578
2,bad,bad,pos,high,0.00034041965324559115
2,bad,bad,pos,low,0.0003602290837869341
2,bad,neutral,neg,high,0.00014574192155185302
2,bad,neutral,neg,low,0.0007582825842044899
2,bad,neutral,pos,high,0.00005540660811266059
2,bad,neutral,pos,low,0.0002875251887516897
2,bad,good,neg,high,0.011807312258613284
2,bad,good,neg,low,0.019565366791872166
2,bad,good,pos,high,0.013174993132912526
2,bad,good,pos,low,0.021774845659754256
2,bad,amazing,neg,high,0.17863094155424902
2,bad,amazing,neg,low,0.08751662474911379
2,bad,amazing,pos,high,0.4437885626579377
2,bad,amazing,pos,low,0.2168591347212723
2,ok,terrible,neg,high,0.0005330028751754917
2,ok,terrible,neg,low,0.00037749574337530553
2,ok,terrible,pos,high,0.00004079365395048323
2,ok,terrible,pos,low,0.000030079239435571526
2,ok,bad,neg,high,0.00030754375496813935
2,ok,bad,neg,low,0.0006560692207619952
2,ok,bad,pos,high,0.00006532535668486254
2,ok,bad,pos,low,0.0001450829162968205
2,ok,neutral,neg,high,0.0003376549084398204
2,ok,neutral,neg,low,0.002151039242512467
2,ok,neutral,pos,high,0.00021483547701126827
2,ok,neutral,pos,low,0.0013692923685638667
2,ok,good,neg,high,0.006208850160975908
2,ok,good,neg,low,0.020644882397507572
2,ok,good,pos,high,0.010749391437088805
2,ok,good,pos,low,0.03721147184510447
2,ok,amazing,neg,high,0.09393270254331659
2,ok,amazing,neg,low,0.09234533883222787
2,ok,amazing,pos,high,0.3620842096225519
2,ok,amazing,pos,low,0.3705949384040507
2,good,terrible,neg,high,0.0003574709386246238
2,good,terrible,neg,low,0.00016703753309364
2,good,terrible,pos,high,0.00005185820082244938
2,good,terrible,pos,low,0.000021932527693230257
2,good,bad,neg,high,0.0002062614666391901
2,good,bad,neg,low,0.0002903030990360015
2,good,bad,pos,high,0.00008304368787051521
2,good,bad,pos,low,0.00010578841550533246
2,good,neutral,neg,high,0.00005139913501404325
2,good,neutral,neg,low,0.0003540442205182738
2,good,neutral,pos,high,0.000057467179501785456
2,good,neutral,pos,low,0.00035827746746845164
2,good,good,neg,high,0.018374845403396817
2,good,good,neg,low,0.03255947173639967
2,good,good,pos,high,0.04077137274839824
2,good,good,pos,low,0.07181405429369715
2,good,amazing,neg,high,0.06299818051572663
2,good,amazing,neg,low,0.040861752382452744
2,good,amazing,pos,high,0.4602930563669626
2,good,amazing,pos,low,0.2702223826811786
2,amazing,terrible,neg,high,0.00016097243328956165
