imageID,utterance,state,valence,arousal,probability
1,terrible,terrible,neg,high,0.03007488299531982
1,terrible,terrible,neg,low,0.008957878315132613
1,terrible,terrible,pos,high,0.0033416536661466482
1,terrible,terrible,pos,low,0.0009953198127925123
1,terrible,bad,neg,high,0.06497659906396253
1,terrible,bad,neg,low,0.1741809672386895
1,terrible,bad,pos,high,0.027847113884555373
1,terrible,bad,pos,low,0.07464898595943836
1,terrible,neutral,neg,high,0.01954758190327612
1,terrible,neutral,neg,low,0.23209048361934478
1,terrible,neutral,pos,high,0.01954758190327612
1,terrible,neutral,pos,low,0.23209048361934478
1,terrible,good,neg,high,0.005569422776911078
1,terrible,good,neg,low,0.014929797191887684
1,terrible,good,pos,high,0.012995319812792514
1,terrible,good,pos,low,0.034836193447737925
1,terrible,amazing,neg,high,0.0033416536661466448
1,terrible,amazing,neg,low,0.0009953198127925123
1,terrible,amazing,pos,high,0.03007488299531982
1,terrible,amazing,pos,low,0.008957878315132613
2,terrible,terrible,neg,high,0.041954298150163244
2,terrible,terrible,neg,low,0.012496191512513615
2,terrible,terrible,pos,high,0.004661588683351472
2,terrible,terrible,pos,low,0.001388465723612623
2,terrible,bad,neg,high,0.01812840043525572
2,terrible,bad,neg,low,0.048596300326441785
2,terrible,bad,pos,high,0.007769314472252446
2,terrible,bad,pos,low,0.020826985854189326
2,terrible,neutral,neg,high,0.013634385201305759
2,terrible,neutral,neg,low,0.1618824809575626
2,terrible,neutral,pos,high,0.013634385201305759
2,terrible,neutral,pos,low,0.1618824809575626
2,terrible,good,neg,high,0.015538628944504891
2,terrible,good,neg,low,0.04165397170837865
2,terrible,good,pos,high,0.03625680087051144
2,terrible,good,pos,low,0.09719260065288357
2,terrible,amazing,neg,high,0.02330794341675734
2,terrible,amazing,neg,low,0.00694232861806311
2,terrible,amazing,pos,high,0.2097714907508161
2,terrible,amazing,pos,low,0.06248095756256803
